index,title,since
0,Je 1. září a ve školách by už mělo být všechno přichystané na návrat studentů a žáků do lavic,2023-09-01 13:06:00+02:00
1,Některá města od září zdražila hromadnou dopravou,2023-09-01 14:06:00+02:00
2,Do Řecka už dorazila další skupina zhruba padesáti českých hasičů,2023-09-01 15:06:00+02:00
3,Prezident Petr Pavel podepsal penzijní novelu,2023-09-01 16:06:00+02:00
4,Devět tříd ze 4. základní školy v Plzni zahájí školní rok v náhradních prostorech,2023-09-01 17:06:00+02:00
5,Přes Labe v Pardubicích už se klene nový železniční most,2023-09-01 18:33:30+02:00
6,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",2023-09-01 19:06:00+02:00
7,"Nejvyšší kontrolní úřad kritizuje hospodaření státu nejen kvůli tempu zadlužování, ale i vysoké inflaci a neschopnosti těžit z dobré situace na pracovním trhu",2023-09-04 13:06:00+02:00
8,Slovenští policisté odhalili mezi uprchlíky ze Sýrie dva teroristy,2023-09-04 14:06:00+02:00
9,Začal nový školní rok do tříd vyrazilo víc než milion a půl dětí,2023-09-04 15:06:00+02:00
10,Mezi exprezidenta Spojených států Donalda Trumpa a jeho účast ve volbách příští rok by se mohla postavit americká ústava,2023-09-04 16:06:00+02:00
11,"To co pro Čechy znamená japonské Nagano, to pro Jihosúdánce může znamenat Paříž",2023-09-04 17:06:00+02:00
12,"Jestli jste viděli film Oppenheimer, následující téma s ním trochu souvisí",2023-09-04 18:33:30+02:00
13,"Začal nový školní rok, do lavic podle odhadů ministerstva školství usedne zhruba jeden a půl milionu žáků a studentů",2023-09-04 19:06:00+02:00
14,Dlouhé telefonní hovory můžou zvyšovat krevní tlak,2023-09-05 13:06:00+02:00
15,O azyl v Evropské unii zažádalo jen v první polovině letošního roku přes půl milionu lidí to je o bezmála třicet procent víc než v prvních šesti měsících loňského roku,2023-09-05 14:06:00+02:00
16,"Už o tom z našeho vysílání víte poslanci se budou znovu zabývat konsolidačním balíčkem, předloha je už ve druhém čtení",2023-09-05 15:06:00+02:00
17,Severokorejský vůdce Kim Čong-un se chystá podle amerických úřadů do Ruska,2023-09-05 16:06:00+02:00
18,Jak financovat veřejnoprávní televizi a rozhlas?,2023-09-05 17:06:00+02:00
19,Do lesů v okolí severoitalského Trentina chodil oťukávat stromy i slavný houslař Antonio Stradivari,2023-09-05 18:33:30+02:00
20,V Česku jsou stále obce s nedostatečným pokrytím mobilního signálu,2023-09-05 19:06:00+02:00
21,"Jak už jste od nás slyšeli, ministr spravedlnosti podal žalobu na šéfa resortu vnitra, aby si vyjasnil kompetence",2023-09-06 13:06:00+02:00
22,"Poslanci jednají už druhý den, na programu mají druhé čtení vládního plánu úspor k tomu se ale ještě nedostali",2023-09-06 14:06:00+02:00
23,Vláda by dnes měla rozhodnout o novém řediteli Generální inspekce bezpečnostních sborů,2023-09-06 15:06:00+02:00
24,"Při bleskových povodních v Turecku, Řecku a Bulharsku zemřelo nejméně 9 lidí",2023-09-06 16:06:00+02:00
25,Britskou politickou scénou i veřejností hýbe téma odlehčeného betonu ve školních budovách,2023-09-06 17:06:00+02:00
26,"Zatímco na filmovém festivalu v Benátkách sklízí film Hranice polské režisérky Agniezsky Holland uznání, v Polsku je to jinak - tamní ministr spravedlnosti snímek přirovnal k nacistické propagandě",2023-09-06 18:33:30+02:00
27,Česko už nebude velet vojenské misi na Slovensku,2023-09-06 19:06:00+02:00
28,Na olympijských hrách v Paříži by příští rok neměla vlát ruská vlajka,2023-09-07 13:06:00+02:00
29,Teplota moří byla letos v srpnu vyšší než teplota vzduchu,2023-09-07 14:06:00+02:00
30,Slyšeli jste to ve zprávách poslanci se dál přou o jednotlivých detailech vládního plánu úspor takzvaného konsolidačního balíčku,2023-09-07 15:06:00+02:00
31,Šéf NATO Stoltenberg mluvil před europoslanci v Bruselu o ukrajinské protiofenzivě,2023-09-07 16:06:00+02:00
32,Izrael by rád uzavřel mír se Saúdskou Arábií,2023-09-07 17:06:00+02:00
33,Už 25 let funguje Česko-německý fond budoucnosti,2023-09-07 18:33:30+02:00
34,Po víc než dvou letech začala generální rekonstrukce tornádem poničné základní školy v Moravské Nové Vsi na Břeclavsku,2023-09-07 19:06:00+02:00
35,Penicilinu je dost,2023-09-08 13:06:00+02:00
36,Místo dvou středních škol by mohlo být možné hlásit se hned na tři,2023-09-08 14:06:00+02:00
37,V Berlíně dnes odpoledne začínají takzvané Slavnosti občanské společnosti na kterých bude hostující zemí Česká republika,2023-09-08 15:06:00+02:00
38,Indie od zítřka hostí summit skupiny G20,2023-09-08 16:06:00+02:00
39,"V americkém státě Georgia odtajnili zprávu Velké poroty o vyšetřování Donalda Trumpa a jeho snah nelegálně zvrátit výsledky voleb z roku 2020. O co se jedná, vám povíme ve vysílání",2023-09-08 17:06:00+02:00
40,Válka na ukrajině mění výuku rusistiky na vysokých školách,2023-09-08 18:33:30+02:00
41,"Historický význam i jedinečné urbanistické uspořádání to jsou důvody, proč ministerstvo kultury zapsalo bývalou židovskou čtvrť v Hluboké nad Vltavou na seznam kulturních památek",2023-09-08 19:06:00+02:00
42,V Marockém Marrakeši postiženém zemětřesením si turisté i po hrůzných zážitcích užívají dál dovolených,2023-09-11 13:06:00+02:00
43,"Nikdy to nevzdát, to je heslo paní Johany z Ostravy, která má autismus a dětskou mozkovou obrnu",2023-09-11 14:06:00+02:00
44,"Za poslední týden zaznamenali hygienici 900 nakažených covidem 19. I když číslo po prázdninách a dovolených mírně roste, zůstává situace pod kontrolou",2023-09-11 15:06:00+02:00
45,"Zkrácené úvazky využívají nejčastěji lidé nad 55 let nebo ti, kdo pečují o dítě",2023-09-11 16:06:00+02:00
46,Katalánský separatismus je ve Španělsku opět v centru dění,2023-09-11 17:06:00+02:00
47,Ochrana hospodářských zvířat před vlky je pro zemědělce dostupnější,2023-09-11 18:33:30+02:00
48,"Hvězda československé hudební scény, herečka i moderátorka",2023-09-11 19:06:00+02:00
49,Rž má už několik dní zvláštního zpravodaje V Maroku,2023-09-12 13:06:00+02:00
50,"Tatiana Dyková, Václav Neužil nebo Oskar Hes",2023-09-12 14:06:00+02:00
